date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:02	61199/61199	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:28:38%20GMT	https://www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html	/home/alexander/websites/heise/www.heise.de/tp/features/Nicht-Fake-News-sondern-verwirrende-Aeusserungen-der-Regierung-sind-das-groessere-Problem-4783289.html	(from https://www.heise.de/tp/features/Krebstherapie-mit-Antimaterie-3408718.html)
13:37:03	46640/46640	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:37:03%20GMT	https://www.heise.de/tp/features/Telepolis-Kaffee-3703575.html?view=mail	/home/alexander/websites/heise/www.heise.de/tp/features/Telepolis-Kaffee-3703575ffd2.html	(from https://www.heise.de/tp/features/Telepolis-Kaffee-3703575.html)
13:37:04	32659/32659	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:31:14%20GMT	https://www.heise.de/tp/features/Telepolis-Kaffee-3703575.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Telepolis-Kaffee-3703575aa88.html	(from https://www.heise.de/tp/features/Telepolis-Kaffee-3703575.html)
13:37:05	66664/66664	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:35:54%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?seite=2	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-47804645558.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:06	66988/66988	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:35:56%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?seite=3	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464210a.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:07	65603/65603	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:30:41%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?seite=4	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-47804644f7d.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:08	98249/98249	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:32:17%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?seite=all	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-47804649815.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:09	62098/62098	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:16:22%20GMT	https://www.heise.de/tp/features/Landlust-und-Landflucht-4603662.html	/home/alexander/websites/heise/www.heise.de/tp/features/Landlust-und-Landflucht-4603662.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:10	50398/50398	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:03:37%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?view=fussnoten	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-47804647dbb.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:11	73757/73757	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:14:00%20GMT	https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464aa88.html	(from https://www.heise.de/tp/features/Einwanderung-als-Wunderwaffe-gegen-den-demographischen-Wandel-und-fuer-abgehaengte-Regionen-4780464.html)
13:37:12	62401/62401	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2009:20:01%20GMT	https://www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698.html?seite=5	/home/alexander/websites/heise/www.heise.de/tp/features/Frankreich-Protest-gegen-Rassismus-und-Ungerechtigkeit-4782698bde5.html	(from https://www.heise.de/tp/features/Bandenkrieg-in-Dijon-Alter-Senf-in-der-neuen-Normalitaet-4786715.html)
13:37:13	43782/43782	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:14:02%20GMT	https://www.heise.de/tp/features/Bandenkrieg-in-Dijon-Alter-Senf-in-der-neuen-Normalitaet-4786715.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Bandenkrieg-in-Dijon-Alter-Senf-in-der-neuen-Normalitaet-4786715aa88.html	(from https://www.heise.de/tp/features/Bandenkrieg-in-Dijon-Alter-Senf-in-der-neuen-Normalitaet-4786715.html)
13:37:14	61261/61261	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:23:19%20GMT	https://www.heise.de/tp/features/Spahn-stellt-den-geplanten-Immunitaetsausweis-zurueck-4714459.html	/home/alexander/websites/heise/www.heise.de/tp/features/Spahn-stellt-den-geplanten-Immunitaetsausweis-zurueck-4714459.html	(from https://www.heise.de/tp/features/Studie-belegt-Zweifel-ob-sich-eine-laenger-anhaltende-Immunitaet-nach-einer-Covid-19-Infektion-4789059.html)
13:37:15	34943/34943	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:36:29%20GMT	https://www.heise.de/tp/features/Studie-belegt-Zweifel-ob-sich-eine-laenger-anhaltende-Immunitaet-nach-einer-Covid-19-Infektion-4789059.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Studie-belegt-Zweifel-ob-sich-eine-laenger-anhaltende-Immunitaet-nach-einer-Covid-19-Infektion-4789059aa88.html	(from https://www.heise.de/tp/features/Studie-belegt-Zweifel-ob-sich-eine-laenger-anhaltende-Immunitaet-nach-einer-Covid-19-Infektion-4789059.html)
13:37:16	31868/31868	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:30:17%20GMT	https://www.heise.de/tp/features/Covid-19-und-Vitamin-D-4787490.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Covid-19-und-Vitamin-D-4787490aa88.html	(from https://www.heise.de/tp/features/Covid-19-und-Vitamin-D-4787490.html)
13:37:17	62714/62714	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2010:51:37%20GMT	https://www.heise.de/tp/features/Black-Lives-Matter-Proteste-spuelen-Grossbritanniens-Kolonialgeschichte-hoch-4780484.html	/home/alexander/websites/heise/www.heise.de/tp/features/Black-Lives-Matter-Proteste-spuelen-Grossbritanniens-Kolonialgeschichte-hoch-4780484.html	(from https://www.heise.de/tp/features/Wie-man-eine-Statue-mit-Zuhilfenahme-der-Wissenschaft-umstuerzt-4788823.html)
13:37:18	32956/32956	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:30:18%20GMT	https://www.heise.de/tp/features/Wie-man-eine-Statue-mit-Zuhilfenahme-der-Wissenschaft-umstuerzt-4788823.html?view=print	/home/alexander/websites/heise/www.heise.de/tp/features/Wie-man-eine-Statue-mit-Zuhilfenahme-der-Wissenschaft-umstuerzt-4788823aa88.html	(from https://www.heise.de/tp/features/Wie-man-eine-Statue-mit-Zuhilfenahme-der-Wissenschaft-umstuerzt-4788823.html)
13:37:19	63142/63142	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2011:32:55%20GMT	https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html?seite=2	/home/alexander/websites/heise/www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-47832925558.html	(from https://www.heise.de/tp/features/Auch-Billionen-werden-die-schlimmste-Rezession-des-Jahrhunderts-nicht-verhindern-4783292.html)
